epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4254,0.72324,2.30976,5.06755,0.99011,0.00333,1,0.995,0.9432,0.00333,1,0.995,0.93081,0.32206,0.61641,3.62061,0.78955,0.0002,0.0002,0.0002
2,13.8068,0.50905,0.43277,3.2437,0.8397,0.00333,1,0.98368,0.89023,0.00333,1,0.98368,0.88893,0.36281,0.62721,3.62899,0.80474,0.000415842,0.000415842,0.000415842
3,17.1896,0.50434,0.37079,2.61252,0.83648,0.00326,0.97727,0.97459,0.85078,0.00326,0.97727,0.97459,0.91518,0.52453,0.91761,3.79614,0.85257,0.000627328,0.000627328,0.000627328
4,20.669,0.51156,0.36684,2.61361,0.85296,0.00468,1,0.98427,0.89371,0.00468,1,0.98427,0.85931,0.43757,0.96252,3.56266,0.81196,0.000834458,0.000834458,0.000834458
5,24.1408,0.54282,0.33679,2.33715,0.85071,0.99997,1,0.995,0.86372,0.99997,1,0.995,0.9546,0.54687,0.38288,3.35047,0.82406,0.00103723,0.00103723,0.00103723
6,27.7309,0.51255,0.35791,2.2171,0.8454,0.99378,1,0.995,0.82115,0.99378,1,0.995,0.90982,0.6818,0.57026,2.80197,0.86256,0.00123565,0.00123565,0.00123565
7,31.0562,0.52088,0.35934,2.04609,0.83394,1,0.99735,0.995,0.88627,1,0.99735,0.995,0.56873,0.53228,2.98063,2.68861,0.83367,0.00142971,0.00142971,0.00142971
8,34.5243,0.5323,0.34104,1.88045,0.84101,0.99562,1,0.995,0.88619,0.99562,1,0.995,0.96485,0.53397,0.40296,2.4558,0.82895,0.00161942,0.00161942,0.00161942
9,38.2582,0.54551,0.40063,1.77162,0.83773,0.99594,1,0.995,0.85942,0.99594,1,0.995,0.93229,0.58715,0.69744,2.45009,0.8466,0.00180477,0.00180477,0.00180477
10,41.5958,0.53343,0.36876,1.58412,0.83382,0.99703,1,0.995,0.84952,0.99703,1,0.995,0.98176,0.53483,0.35939,1.46759,0.82857,0.0018218,0.0018218,0.0018218
11,45.0914,0.53186,0.33584,1.46136,0.84533,0.99838,1,0.995,0.89069,0.99838,1,0.995,0.98333,0.47732,0.3297,1.03732,0.81571,0.001802,0.001802,0.001802
12,48.4983,0.57181,0.3374,1.38191,0.84699,0.99655,1,0.995,0.88729,0.99655,1,0.995,0.99038,0.50264,0.3129,0.89666,0.82108,0.0017822,0.0017822,0.0017822
13,51.9507,0.51035,0.31227,1.36779,0.83464,0.99841,1,0.995,0.87372,0.99841,1,0.995,0.9796,0.55232,0.3047,0.79831,0.82612,0.0017624,0.0017624,0.0017624
14,55.3885,0.48471,0.32144,1.25254,0.83913,0.99834,1,0.995,0.89412,0.99834,1,0.995,0.98336,0.42669,0.28474,0.65018,0.80423,0.0017426,0.0017426,0.0017426
15,58.7735,0.47926,0.31884,1.08903,0.83419,0.9977,1,0.995,0.90464,0.9977,1,0.995,0.98775,0.45877,0.2842,0.88924,0.81803,0.0017228,0.0017228,0.0017228
16,62.1908,0.4946,0.30063,1.10108,0.84422,0.99865,1,0.995,0.89928,0.99865,1,0.995,0.995,0.45928,0.25219,0.7259,0.80796,0.001703,0.001703,0.001703
17,65.6354,0.47203,0.27499,1.00945,0.82161,0.99865,1,0.995,0.89808,0.99865,1,0.995,0.97509,0.45805,0.25399,0.63338,0.80119,0.0016832,0.0016832,0.0016832
18,69.062,0.45501,0.27177,0.92492,0.81824,0.99837,1,0.995,0.92547,0.99837,1,0.995,0.995,0.3922,0.25536,0.65886,0.79464,0.0016634,0.0016634,0.0016634
19,72.4969,0.4592,0.26999,0.91998,0.824,0.99725,1,0.995,0.88811,0.99725,1,0.995,0.99011,0.4591,0.24537,0.60264,0.81242,0.0016436,0.0016436,0.0016436
20,75.8777,0.42855,0.25247,0.85168,0.82549,0.99862,1,0.995,0.91039,0.99862,1,0.995,0.99141,0.41077,0.22631,0.58628,0.7957,0.0016238,0.0016238,0.0016238
21,79.3579,0.44327,0.25718,0.81957,0.82592,0.99868,1,0.995,0.91319,0.99868,1,0.995,0.9887,0.44509,0.25171,0.55948,0.80129,0.001604,0.001604,0.001604
22,82.7956,0.44585,0.26092,0.79132,0.83041,0.99186,1,0.995,0.9177,0.99186,1,0.995,0.99191,0.41782,0.25072,0.66229,0.79937,0.0015842,0.0015842,0.0015842
23,86.1418,0.41927,0.24784,0.74116,0.81768,0.99834,1,0.995,0.86908,0.99834,1,0.995,0.995,0.45399,0.24944,0.50571,0.7991,0.0015644,0.0015644,0.0015644
